code,b11,b10,b9,b8,b7,b6,b5,b4,b3,b2,b1,b0,vout,DNL,INL,delay_ns
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,100.0
1,0,0,0,0,0,0,0,0,0,0,0,1,0.000293,0.001016,0.001016,100.0
2,0,0,0,0,0,0,0,0,0,0,1,0,0.000583,-0.013181,-0.012165,100.0
3,0,0,0,0,0,0,0,0,0,0,1,1,0.000876,0.001016,-0.011150,100.0
4,0,0,0,0,0,0,0,0,0,1,0,0,0.001170,0.003055,-0.008095,100.0
5,0,0,0,0,0,0,0,0,0,1,0,1,0.001463,0.001016,-0.007079,100.0
6,0,0,0,0,0,0,0,0,0,1,1,0,0.001752,-0.013181,-0.020260,100.0
7,0,0,0,0,0,0,0,0,0,1,1,1,0.002046,0.001016,-0.019245,100.0
8,0,0,0,0,0,0,0,0,1,0,0,0,0.002314,-0.084444,-0.103688,100.0
9,0,0,0,0,0,0,0,0,1,0,0,1,0.002607,0.001016,-0.102673,100.0
10,0,0,0,0,0,0,0,0,1,0,1,0,0.002896,-0.013181,-0.115854,100.0
11,0,0,0,0,0,0,0,0,1,0,1,1,0.003190,0.001016,-0.114838,100.0
12,0,0,0,0,0,0,0,0,1,1,0,0,0.003484,0.003055,-0.111783,100.0
13,0,0,0,0,0,0,0,0,1,1,0,1,0.003777,0.001016,-0.110768,100.0
14,0,0,0,0,0,0,0,0,1,1,1,0,0.004066,-0.013181,-0.123949,100.0
15,0,0,0,0,0,0,0,0,1,1,1,1,0.004360,0.001016,-0.122933,100.0
16,0,0,0,0,0,0,0,1,0,0,0,0,0.004701,0.166695,0.043762,100.0
17,0,0,0,0,0,0,0,1,0,0,0,1,0.004995,0.001016,0.044778,100.0
18,0,0,0,0,0,0,0,1,0,0,1,0,0.005284,-0.013181,0.031597,100.0
19,0,0,0,0,0,0,0,1,0,0,1,1,0.005577,0.001016,0.032612,100.0
20,0,0,0,0,0,0,0,1,0,1,0,0,0.005871,0.003055,0.035667,100.0
21,0,0,0,0,0,0,0,1,0,1,0,1,0.006165,0.001016,0.036683,100.0
22,0,0,0,0,0,0,0,1,0,1,1,0,0.006454,-0.013181,0.023502,100.0
23,0,0,0,0,0,0,0,1,0,1,1,1,0.006747,0.001016,0.024517,100.0
24,0,0,0,0,0,0,0,1,1,0,0,0,0.007015,-0.084444,-0.059926,100.0
25,0,0,0,0,0,0,0,1,1,0,0,1,0.007309,0.001016,-0.058911,100.0
26,0,0,0,0,0,0,0,1,1,0,1,0,0.007598,-0.013181,-0.072092,100.0
27,0,0,0,0,0,0,0,1,1,0,1,1,0.007891,0.001016,-0.071076,100.0
28,0,0,0,0,0,0,0,1,1,1,0,0,0.008185,0.003055,-0.068021,100.0
29,0,0,0,0,0,0,0,1,1,1,0,1,0.008479,0.001016,-0.067005,100.0
30,0,0,0,0,0,0,0,1,1,1,1,0,0.008768,-0.013181,-0.080186,100.0
31,0,0,0,0,0,0,0,1,1,1,1,1,0.009061,0.001016,-0.079171,100.0
32,0,0,0,0,0,0,1,0,0,0,0,0,0.009309,-0.155466,-0.234637,100.0
33,0,0,0,0,0,0,1,0,0,0,0,1,0.009602,0.001016,-0.233622,100.0
34,0,0,0,0,0,0,1,0,0,0,1,0,0.009891,-0.013181,-0.246803,100.0
35,0,0,0,0,0,0,1,0,0,0,1,1,0.010184,0.001016,-0.245787,100.0
36,0,0,0,0,0,0,1,0,0,1,0,0,0.010478,0.003055,-0.242732,100.0
37,0,0,0,0,0,0,1,0,0,1,0,1,0.010772,0.001016,-0.241716,100.0
38,0,0,0,0,0,0,1,0,0,1,1,0,0.011061,-0.013181,-0.254897,100.0
39,0,0,0,0,0,0,1,0,0,1,1,1,0.011354,0.001016,-0.253882,100.0
40,0,0,0,0,0,0,1,0,1,0,0,0,0.011622,-0.084444,-0.338325,100.0
41,0,0,0,0,0,0,1,0,1,0,0,1,0.011916,0.001016,-0.337310,100.0
42,0,0,0,0,0,0,1,0,1,0,1,0,0.012205,-0.013181,-0.350491,100.0
